CryptoID,Date,Open,High,Low,Close,Adj Close,Volume
DOGE-GBP,2018-08-23,0.001794,0.001873,0.001793,0.001862,0.001862,2027061
DOGE-GBP,2018-08-24,0.001866,0.001897,0.001836,0.001889,0.001889,2532246
DOGE-GBP,2018-08-25,0.001887,0.001899,0.001834,0.001846,0.001846,3137159
DOGE-GBP,2018-08-26,0.001844,0.001879,0.001781,0.00187,0.00187,2265269
DOGE-GBP,2018-08-27,0.00187,0.001914,0.001857,0.001909,0.001909,2806033
DOGE-GBP,2018-08-28,0.001919,0.002035,0.001904,0.002026,0.002026,4053046
DOGE-GBP,2018-08-29,0.002026,0.002015,0.001954,0.001999,0.001999,3520061
DOGE-GBP,2018-08-30,0.001993,0.002508,0.001992,0.002464,0.002464,26106756
DOGE-GBP,2018-08-31,0.002471,0.003741,0.002469,0.003699,0.003699,59525114
DOGE-GBP,2018-09-01,0.003658,0.00521,0.003346,0.004844,0.004844,149545560
DOGE-GBP,2018-09-02,0.004868,0.005057,0.003509,0.00387,0.00387,107925536
DOGE-GBP,2018-09-03,0.00389,0.004294,0.003857,0.004093,0.004093,44426240
DOGE-GBP,2018-09-04,0.004103,0.004141,0.003945,0.004098,0.004098,25274247
DOGE-GBP,2018-09-05,0.00409,0.004162,0.003751,0.003818,0.003818,39132724
DOGE-GBP,2018-09-06,0.003814,0.003931,0.00361,0.003876,0.003876,25132544
DOGE-GBP,2018-09-07,0.003866,0.004203,0.003867,0.004107,0.004107,29107629
DOGE-GBP,2018-09-08,0.004099,0.004533,0.004099,0.004404,0.004404,37332327
DOGE-GBP,2018-09-09,0.004418,0.00452,0.004412,0.004509,0.004509,25196875
DOGE-GBP,2018-09-10,0.004517,0.005322,0.004518,0.005291,0.005291,59029326
DOGE-GBP,2018-09-11,0.005321,0.005321,0.004559,0.004863,0.004863,69066313
DOGE-GBP,2018-09-12,0.004861,0.004949,0.004762,0.004949,0.004949,45863309
